353,345,392
123,391,518
712,280,449
704,830,413
261,239,325
728,889,856
316,180,750
301,954,291
290,583,425
710,580,235
112,811,245
117,324,844
849,297,577
387,103,897
158,216,985
308,233,560
662,295,536
603,375,919
282,277,707
439,977,967
694,817,138
338,721,440
294,678,133
758,640,262
238,191,272
664,140,334
396,613,160
836,474,540
375,364,480
326,726,673
670,657,311
978,517,201
509,193,738
446,373,708
352,606,872
206,625,797
302,290,110
405,349,972
191,406,904
450,595,387
512,184,524
197,210,158
937,584,556
229,838,170
321,367,593
189,616,354
516,782,454
841,154,913
781,663,151
781,184,876
186,852,367
467,910,503
451,997,921
634,435,949
892,540,256
504,467,711
561,895,980
804,571,444
254,842,527
679,274,763
204,439,830
574,552,809
749,939,975
530,904,491
189,664,483
643,109,711
122,595,879
207,299,605
558,932,613
133,673,836
258,629,848
163,846,323
666,567,613
397,776,253
650,113,140
749,577,566
968,781,849
157,674,956
737,276,308
354,153,923
760,443,792
723,896,326
128,978,695
877,558,454
495,320,620
185,549,103
973,872,685
994,440,598
745,698,632
525,902,518
984,626,351
569,152,855
995,999,605
814,451,325
686,104,267
195,157,309
317,360,772
925,876,649
144,212,179
166,252,586
268,935,650
765,932,527
834,127,810
654,394,560
221,759,646
998,210,453
975,133,930
547,648,208
957,197,110
766,856,242
554,343,334
549,715,716
792,622,949
385,487,789
525,752,741
496,326,184
405,923,207
917,239,366
233,468,563
981,740,967
996,464,395
191,999,236
410,343,917
747,964,630
511,651,478
897,612,217
317,489,777
705,574,861
173,584,543
861,816,305
223,424,478
717,663,315
978,867,201
441,289,857
177,494,345
159,963,778
548,303,105
296,421,1000
438,963,973
653,507,535
650,886,378
494,316,740
162,347,272
451,117,322
302,105,901
515,552,772
715,548,888
162,802,291
791,156,189
315,975,508
879,315,244
829,977,751
930,577,998
579,966,499
233,442,760
747,253,935
442,265,767
847,716,282
705,710,211
805,123,278
304,827,367
858,233,439
436,287,438
519,743,769
936,383,153
358,331,971
742,556,974
216,372,835
468,845,325
222,496,621
957,275,859
851,294,475
458,963,177
297,444,203
815,147,934
537,414,752
716,415,797
818,450,353
364,492,841
637,902,495
754,702,288
921,268,165
555,769,771
314,342,583
642,603,994
159,365,976
369,778,883
127,698,661
358,421,206
897,946,973
289,598,690
174,837,628
265,893,829
520,748,650
821,579,887
923,155,982
587,768,347
962,343,979
809,687,742
997,556,239
658,627,511
255,352,992
178,916,884
427,916,487
169,815,258
991,488,196
484,872,507
561,917,496
373,225,488
768,159,378
712,421,409
163,846,916
527,488,600
733,190,474
900,888,645
310,281,474
417,261,656
326,749,914
517,402,684
783,409,666
430,354,467
615,980,349
992,841,121
133,395,143
312,633,252
551,335,559
682,756,255
638,947,144
220,340,184
480,248,333
764,995,527
169,293,246
734,836,888
760,944,586
615,481,565
163,469,604
849,385,654
827,363,625
293,524,563
826,668,854
626,363,405
421,395,187
825,694,193
582,176,915
494,377,246
621,131,496
403,921,246
1000,497,324
812,273,402
726,232,907
426,202,509
923,354,269
518,573,344
564,859,903
510,153,490
897,941,829
413,307,817
381,754,119
540,554,507
555,740,546
671,996,151
139,677,488
917,337,866
441,384,118
451,554,259
100,261,214
813,975,212
